x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y
A0,A0,A0,A0,A0,3.0,A0,A0,A0,A0,91.85,257.05,A0
A1,A0,A1,A1,A1,70.0,A0,A1,A1,A1,88.55,6306.5,A1
A2,A1,A0,A1,A0,29.0,A1,A2,A2,A2,20.2,558.8,A1
A3,A1,A0,A0,A1,1.0,A1,A0,A0,A0,45.35,45.35,A1
A4,A1,A0,A1,A0,13.0,A1,A0,A1,A0,54.15,701.05,A1
A5,A0,A0,A0,A1,45.0,A1,A0,A0,,50.9,2298.55,A1
A6,A1,A0,A0,A1,1.0,A0,A0,A0,A0,75.05,75.05,A0
A7,A0,A0,A0,A1,1.0,A1,A0,A0,A0,50.9,50.9,A0
A8,A0,A0,A0,A1,22.0,A0,A0,A0,A1,94.65,2104.55,A0
A9,A1,A0,A0,A1,25.0,A2,A0,A1,A1,54.2,1423.15,A1
A10,A1,A1,A0,A1,18.0,A1,A0,A0,A0,84.95,1443.65,A1
A11,A1,A0,A1,A1,40.0,A0,A0,A1,A0,78.85,3126.85,A1
A12,A0,A0,A1,A0,72.0,A0,A0,A1,A0,66.5,4811.6,A1
A13,A0,A0,A1,A1,61.0,A0,A1,A1,A0,80.8,4860.85,A1
A14,A1,A0,A0,A1,3.0,A1,A1,A0,A1,95.1,307.4,A0
A15,A1,A0,A1,A0,12.0,A0,A1,A0,A0,84.5,916.9,A0
A16,A1,A0,A0,A1,30.0,A1,A2,A2,A2,19.4,578.5,A1
A17,A0,A0,A0,A1,6.0,A1,A0,A1,A0,50.05,288.35,A1
A18,A0,A1,A0,A1,66.0,A0,A1,A1,A1,110.9,7432.05,A0
A19,A0,A0,A0,A1,56.0,A1,A1,A1,A1,75.75,4284.65,A1
A20,A0,A0,A1,A0,69.0,A1,A2,A2,A2,19.9,1356.7,A1
A21,A1,A0,A0,A1,14.0,A1,A0,A0,A0,71.0,914.0,A0
A22,A0,A0,A1,A0,8.0,A1,A0,A0,A0,51.3,411.6,A1
A23,,A0,A1,A0,1.0,A1,A2,A2,A2,19.75,19.75,A1
A24,,A0,A1,A0,12.0,A1,A2,A2,A2,19.7,258.35,A1
A25,A0,A0,A0,A1,1.0,A1,A2,A2,,20.25,20.25,A0
A26,A1,A0,A1,A0,54.0,A0,A0,A1,A0,60.0,3273.95,A1
A27,,A0,A0,A1,66.0,A0,A2,A2,,25.45,1699.15,A1
A28,A0,A0,A1,A0,17.0,A1,A0,A0,A1,89.4,1539.45,A0
A29,A0,A0,A0,A1,60.0,A0,A1,A0,A1,89.9,5450.7,A1
A30,A0,A0,A0,A1,58.0,A1,A1,A0,A1,99.15,5720.95,A1
A31,A1,A0,A0,A1,1.0,A1,A0,A0,A0,70.75,70.75,A0
A32,,A0,A0,A0,71.0,A1,A1,A1,A1,76.9,5522.7,A1
A33,A0,A0,A0,A1,11.0,A2,A0,A0,A1,41.6,470.6,A0
A34,A0,A1,A0,A1,2.0,A1,A0,A0,A1,66.4,94.55,A0
A35,A0,A0,A0,A1,52.0,A1,A0,A0,A1,91.25,4738.3,A1
A36,A0,A0,A0,A1,1.0,A1,A0,A0,A0,70.35,70.35,A1
A37,A0,A0,A1,A0,69.0,A0,A2,A2,A2,24.45,1718.2,A1
A38,A1,A0,A0,A1,68.0,A0,A2,A2,A2,25.5,1821.8,A1
A39,A0,A0,A0,A1,54.0,A2,A0,A1,A1,45.2,2460.55,A1
A40,A0,A0,A0,A1,1.0,A1,A0,A1,A0,55.05,55.05,A1
